year,month,date,stock_code,stock_name,momentum_score,monthly_return
2025,3,2025-03-03,002648,卫星化学,82.208751393534,8.281174771304766
2025,3,2025-03-03,600036,招商银行,81.21376811594203,3.0961298377028657
2025,4,2025-04-01,600415,小商品城,97.9144370122631,-1.1857707509881354
2025,4,2025-04-01,603259,药明康德,95.15635451505017,-13.54260089686099
2025,4,2025-04-01,688506,百利天恒,94.57803790412486,15.122736418511051
2025,4,2025-04-01,605499,东鹏饮料,91.32692307692308,12.853787667688387
2025,4,2025-04-01,601229,上海银行,91.07664437012264,4.205128205128217
2025,4,2025-04-01,000408,藏格矿业,90.30295429208473,-2.403456656764791
2025,4,2025-04-01,000807,云铝股份,90.1401895206243,-14.024041213508864
2025,4,2025-04-01,002648,卫星化学,87.63907469342253,-20.42476276547672
2025,4,2025-04-01,601336,新华保险,87.48494983277592,-6.978620411456237
2025,4,2025-04-01,002422,科伦药业,86.96014492753625,2.1745350500715244
2025,4,2025-04-01,000963,华东医药,85.71460423634338,0.18324607329842646
2025,4,2025-04-01,002594,比亚迪,85.40607580824972,-3.4353995519044056
2025,4,2025-04-01,601077,渝农商行,85.23299888517279,13.659359190556497
2025,4,2025-04-01,601100,恒立液压,85.15607580824972,-6.919191919191925
2025,4,2025-04-01,600176,中国巨石,83.45429208472687,-9.598741148701817
2025,4,2025-04-01,601166,兴业银行,82.89437012263099,-1.9306930693069324
2025,4,2025-04-01,600036,招商银行,81.81410256410255,-5.211646684609727
2025,4,2025-04-01,688008,澜起科技,81.32079152731326,-0.7917964693665569
2025,4,2025-04-01,600039,四川路桥,81.03678929765886,9.055118110236226
2025,4,2025-04-01,600919,江苏银行,79.39269788182831,6.189967982924238
2025,4,2025-04-01,300759,康龙化成,79.03065774804904,-19.00564174894217
2025,4,2025-04-01,601838,成都银行,78.88656633221851,-1.3488657265481208
2025,4,2025-04-01,600031,三一重工,78.53567447045708,-0.2154011847065096
2025,4,2025-04-01,600183,生益科技,78.40997770345597,-12.744014732965002
2025,4,2025-04-01,002001,新和成,78.04319955406912,-1.5489749430523947
2025,4,2025-04-01,603799,华友钴业,78.04208472686733,0.2702702702702897
2025,4,2025-04-01,601728,中国电信,77.81047937569677,-1.5544041450777257
2025,4,2025-04-01,002352,顺丰控股,77.20178372352287,-0.5540166204986208
2025,4,2025-04-01,600276,恒瑞医药,77.10117056856188,-1.3565891472868241
2025,4,2025-04-01,601825,沪农商行,77.05657748049053,-0.6053268765133013
2025,5,2025-05-06,688256,寒武纪,98.83277591973244,-14.64325103928057
2025,5,2025-05-06,688506,百利天恒,98.82971014492753,5.27824384787472
2025,5,2025-05-06,605499,东鹏饮料,97.83026755852842,14.311431143114305
2025,5,2025-05-06,601077,渝农商行,94.57664437012264,8.675799086757973
2025,5,2025-05-06,600415,小商品城,94.2469342251951,16.27437794216544
2025,5,2025-05-06,301269,华大九天,93.23940914158305,4.713638236505968
2025,5,2025-05-06,688008,澜起科技,92.65496098104794,-2.8142111295046623
2025,5,2025-05-06,600039,四川路桥,91.31270903010034,4.103165298944922
2025,5,2025-05-06,603501,豪威集团,91.14994425863992,-7.853015261520224
2025,5,2025-05-06,002371,北方华创,90.89882943143813,-8.546250295718016
2025,5,2025-05-06,601229,上海银行,90.82915273132663,2.371541501976293
2025,5,2025-05-06,002594,比亚迪,90.4933110367893,-2.148997134670483
2025,5,2025-05-06,300661,圣邦股份,90.22491638795987,-8.964630225080384
2025,5,2025-05-06,600000,浦发银行,89.06772575250837,10.780669144981413
2025,5,2025-05-06,000408,藏格矿业,88.81577480490525,-1.7077798861480198
2025,5,2025-05-06,688041,海光信息,88.56772575250835,-9.149759743726648
2025,5,2025-05-06,000975,山金国际,88.55044593088073,-2.76543209876543
2025,5,2025-05-06,000425,徐工机械,88.21989966555185,-9.325842696629216
2025,5,2025-05-06,601100,恒立液压,86.65997770345597,-12.724919093851128
2025,5,2025-05-06,600547,山东黄金,86.1243032329989,-2.958387516254879
2025,5,2025-05-06,601288,农业银行,85.4829988851728,2.857142857142869
2025,5,2025-05-06,601939,建设银行,85.2360646599777,2.149321266968318
2025,5,2025-05-06,600160,巨化股份,85.21962095875139,-3.5688005886681307
2025,5,2025-05-06,603986,兆易创新,84.83026755852842,-14.865789673789065
2025,5,2025-05-06,600588,用友网络,83.89464882943143,-11.585365853658535
2025,5,2025-05-06,300124,汇川技术,83.63266443701227,-8.419725413281022
2025,5,2025-05-06,601398,工商银行,83.32107023411372,1.319648093841641
2025,5,2025-05-06,600031,三一重工,83.04152731326644,-4.399585921325055
2025,5,2025-05-06,002311,海大集团,82.37290969899666,11.692942942942942
2025,5,2025-05-06,600919,江苏银行,82.23439241917502,9.897959183673466
2025,6,2025-06-03,600415,小商品城,98.83082497212934,15.919282511210753
